compression_start,compression_end,upload_start,upload_end,compression_duration,upload_duration,decompress-timestamp [UTC],decompress-id,decompress-operation_Name,decompress-success,decompress-resultCode,decompress-duration,decompress-operation_Id,decompress-cloud_RoleName,decompress-invocationId,aeneas-timestamp [UTC],aeneas-id,aeneas-operation_Name,aeneas-success,aeneas-resultCode,aeneas-duration,aeneas-operation_Id,aeneas-cloud_RoleName,aeneas-invocationId,total-processing-time,total-time
2023-07-18 14:07:12.890478,2023-07-18 14:07:13.007937,2023-07-18 14:07:13.773752,2023-07-18 14:07:14.425395,117.459,651.643,"7/18/2023, 2:07:17.269 PM",a2660258a953f2c4,BlobTriggerEventGrid,True,0,949.7426,fe5a59bdc54819a4b76c97708dc503da,decompress-func,46c353db-bf6c-4f1f-878b-fcddc195a039,"7/18/2023, 2:07:20.178 PM",d5f9ddab254283cb,AeneasFunction,True,0,3491.1083000000003,1560d7d7003704f845a1fc06119fe648,aeneas-func,8e994e6a-7b2e-46d8-9b4d-c2a54d4dbf78,4558.31,10012.815
2023-07-18 14:07:14.425541,2023-07-18 14:07:14.536126,2023-07-18 14:07:14.773180,2023-07-18 14:07:14.942103,110.585,168.923,"7/18/2023, 2:07:17.269 PM",14f81f29556a1a2e,BlobTriggerEventGrid,True,0,955.1445,1fee0d63ceda7e75ed3b14bf4a755520,decompress-func,2d8ae3d2-d578-4188-8c90-efd65ddf9333,"7/18/2023, 2:07:20.233 PM",7c93b0300082c70e,AeneasFunction,True,0,3423.9255000000003,666e0ba78d21484b01c3f12bf2888871,aeneas-func,ae43ae68-8c38-47df-bbf5-3a11bebc5969,4489.655,8994.331
2023-07-18 14:07:14.942186,2023-07-18 14:07:15.007607,2023-07-18 14:07:15.773750,2023-07-18 14:07:16.019683,65.421,245.933,"7/18/2023, 2:07:17.272 PM",c2f230c991a0f3e5,BlobTriggerEventGrid,True,0,955.6599,2a4d3835cb6384ffcfac4ebe9976e3f5,decompress-func,9e370038-8f41-4fc5-9eac-b7bee1c91cb1,"7/18/2023, 2:07:20.393 PM",0375159bc46275d0,AeneasFunction,True,0,3575.4204,f8fdccb9a5886220f1a82bc29e3aba16,aeneas-func,02cdab7e-9447-419f-808f-bcae9c015c99,4596.501,8260.091
2023-07-18 14:07:16.019830,2023-07-18 14:07:16.131665,2023-07-18 14:07:16.773585,2023-07-18 14:07:17.009401,111.835,235.816,"7/18/2023, 2:07:18.292 PM",40bc28404f0abf30,BlobTriggerEventGrid,True,0,217.0726,f66038f094f92ed68d554a5fa8d71049,decompress-func,c9effa6b-54a7-4e20-b348-92a5178bd9d9,"7/18/2023, 2:07:23.694 PM",b8f010a10fd434f0,AeneasFunction,True,0,2693.2558,a28cf489966a961a0cd0c76bb58d07ae,aeneas-func,36b51066-a4a3-4b3b-91c1-7ae0aafb3d2f,3022.163,9725.506
2023-07-18 14:07:17.009547,2023-07-18 14:07:17.132132,2023-07-18 14:07:17.773586,2023-07-18 14:07:18.014787,122.585,241.201,"7/18/2023, 2:07:18.424 PM",9d5119837e10b491,BlobTriggerEventGrid,True,0,176.1611,c98f66c62bb768bb81526df2baae5180,decompress-func,3a6988dd-a800-4f64-a180-298b3b7012e1,"7/18/2023, 2:07:23.700 PM",39338bff42c88b25,AeneasFunction,True,0,2802.4792,9fd8fe86afe8fcd0f7356062b108a3a1,aeneas-func,23d2f346-9cb3-4250-9f1d-b6cb419d21ea,3101.225,8851.478
2023-07-18 14:07:18.014931,2023-07-18 14:07:18.143263,2023-07-18 14:07:18.773572,2023-07-18 14:07:19.012573,128.332,239.001,"7/18/2023, 2:07:19.400 PM",684ee1e1db54653f,BlobTriggerEventGrid,True,0,137.8385,5b74363f3457d27bae59a88fc7d115b1,decompress-func,ab54102e-266e-4b2e-bf2f-fd578e551b83,"7/18/2023, 2:07:24.344 PM",fb9cafa1ae867b45,AeneasFunction,True,0,2189.2961,148dd61a61a7d9e5bd63c485535683a5,aeneas-func,afc8dc45-d1bb-472f-b04e-66849b7d7db7,2455.467,7888.056
2023-07-18 14:07:19.012720,2023-07-18 14:07:19.128655,2023-07-18 14:07:19.773599,2023-07-18 14:07:20.014712,115.935,241.113,"7/18/2023, 2:07:20.526 PM",e5f169ab41944035,BlobTriggerEventGrid,True,0,151.9734,3048af79aa4c71edaaa6f43c89b52827,decompress-func,11a59ed8-5dbc-45a7-8ded-5685adb256b4,"7/18/2023, 2:07:30.636 PM",12a1b54b298915f1,AeneasFunction,True,0,4032.1625000000004,c4f3bbbd86c65f4528f1f1f791bc7452,aeneas-func,4d409f24-5427-4650-800e-a09073ed8e3d,4300.071,15010.498
2023-07-18 14:07:20.014857,2023-07-18 14:07:20.125519,2023-07-18 14:07:20.773591,2023-07-18 14:07:21.011302,110.662,237.711,"7/18/2023, 2:07:21.514 PM",c161fb0a0e313877,BlobTriggerEventGrid,True,0,228.247,9f14d417cd298a1c19ba02c963056b61,decompress-func,4172e16f-d9c0-4ded-9410-874b06072f9e,"7/18/2023, 2:07:30.751 PM",f3fea0fa038299c9,AeneasFunction,True,0,4096.1933,2e6444a1bfbcba2e45a018d6a271bfbe,aeneas-func,571dd868-5c2e-4801-91bc-153cf2b98702,4435.102,14184.264
2023-07-18 14:07:21.011432,2023-07-18 14:07:21.108868,2023-07-18 14:07:21.773605,2023-07-18 14:07:22.009953,97.436,236.348,"7/18/2023, 2:07:22.133 PM",424a0c9a73f50f48,BlobTriggerEventGrid,True,0,142.9912,229c52d905db58680597181c5c33d1a0,decompress-func,dc0e71e9-a17b-4435-831d-4cb17d88a427,"7/18/2023, 2:07:30.906 PM",f6ddda4999644575,AeneasFunction,True,0,4021.1169,942bd64f7a9c8db1842ee6f37e39d29a,aeneas-func,acf2ec58-6b18-44b6-a8df-36766d1f6929,4261.544,13250.948
2023-07-18 14:07:22.010098,2023-07-18 14:07:22.120794,2023-07-18 14:07:22.773617,2023-07-18 14:07:23.004702,110.696,231.085,"7/18/2023, 2:07:23.345 PM",00148856a01e22da,BlobTriggerEventGrid,True,0,187.1686,694ea94aa64a2923c3eb23d86039230b,decompress-func,4e65afee-7075-46c7-a41e-95aa54ddb828,"7/18/2023, 2:07:31.194 PM",fb18361dc039e72c,AeneasFunction,True,0,3705.2181,56c69453498060213cd7d807b91be228,aeneas-func,2b19685f-f4e4-470f-8b28-cf7f0791fb1d,4003.083,12236.297
